Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Accord,Sedan,Qassim,Honda,Midrange,Automatic,Gulf Arabic,Standard,2019,1.5,28000,88000
Edge,Other,Al-Ahsa,Ford,Midrange,Automatic,Saudi,Full,2014,3.5,186000,54000
Accord,Sedan,Makkah,Honda,Midrange,Automatic,Saudi,Full,2014,2.4,480000,40000
Elantra,Sedan,Qassim,Hyundai,Midrange,Manual,Saudi,Semi Full,2012,1.7,300,15000
Carnival,MPV,Al-Ahsa,Kia,Midrange,Automatic,Saudi,Semi Full,2013,3.5,256000,28000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.6,112000,32000
FJ,SUV,Abha,Toyota,Midrange,Automatic,Saudi,Full,2012,4.0,310,70000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,142000,48000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Other,Full,2016,6.2,126000,176000
CC,Other,Riyadh,Volkswagen,Midrange,Automatic,Saudi,Full,2014,2.0,163672,55000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,3.0,40000,93000
Sierra,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2018,5.3,181313,131500
Expedition,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2014,5.4,120000,65000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2013,3.5,53393,57500
LS,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Other,Semi Full,2015,4.6,51000,200000
Accent,Sedan,Jeddah,Hyundai,Midrange,Manual,Saudi,Semi Full,2012,1.6,228000,15000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Gulf Arabic,Full,2016,2.7,388000,55000
Charger,Sedan,Riyadh,Dodge,Midrange,Automatic,Saudi,Standard,2017,3.6,122178,76500
Hiace,Van,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,264000,65000
Navara,Pickup,Jeddah,Nissan,Midrange,Manual,Saudi,Standard,2016,2.5,7000,65000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2017,2.5,215735,64500
Malibu,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Standard,2017,2.4,146000,40500
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2018,5.7,98000,365000
Rio,Hatchback,Dammam,Kia,Midrange,Automatic,Saudi,Standard,2019,1.4,72000,36500
Sportage,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Standard,2019,1.6,61000,59000
Hilux,Pickup,Wadi Dawasir,Toyota,Midrange,Manual,Saudi,Full,2007,2.7,445250,50000
Hilux,Pickup,Hail,Toyota,Midrange,Manual,Saudi,Full,2015,2.7,374000,72000
Jimny,Other,Riyadh,Suzuki,Entry Level,Manual,Saudi,Standard,2013,1.3,35700,16000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Gulf Arabic,Semi Full,2015,2.7,310,40000
500,Other,Dammam,Fiat,Entry Level,Automatic,Saudi,Full,2019,1.4,17000,70000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2020,1.5,12000,42000
LX,Other,Dammam,Lexus,Premium Luxury,Automatic,Other,Full,2013,5.7,98000,200000
A8,Luxury,Dammam,Audi,Premium Luxury,Automatic,Gulf Arabic,Full,2018,3.0,68800,315000
Hilux,Pickup,Qassim,Toyota,Midrange,Manual,Saudi,Standard,2012,2.7,394000,40000
Hilux,Pickup,Jubail,Toyota,Midrange,Manual,Saudi,Semi Full,2017,2.7,146000,72000
300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Saudi,Semi Full,2014,3.5,272000,45000
Land Cruiser,SUV,Jazan,Toyota,Midrange,Manual,Other,Full,2007,4.6,160000,125000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,165000,63000
Durango,SUV,Jeddah,Dodge,Midrange,Automatic,Saudi,Standard,2014,5.7,170000,44000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2016,1.5,211000,20000
Silverado,Pickup,Al-Ahsa,Chevrolet,Midrange,Automatic,Other,Semi Full,2010,5.3,73000,37000
HRV,SUV,Riyadh,Honda,Midrange,Automatic,Saudi,Standard,2021,1.8,6000,60000
ES,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Saudi,Semi Full,2014,3.5,121000,90000
Senta fe,SUV,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2013,3.3,282000,43000
Escalade,Other,Riyadh,Cadillac,Premium Luxury,Automatic,Saudi,Full,2018,6.2,22200,230000
Fusion,Sedan,Al-Ahsa,Ford,Midrange,Automatic,Other,Semi Full,2018,1.5,125000,57000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2016,5.3,168000,114500
Picanto,Hatchback,Al-Medina,Kia,Midrange,Automatic,Saudi,Standard,2017,1.0,141000,22500
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Standard,2016,2.4,106214,67500
CX9,SUV,Dammam,Mazda,Midrange,Automatic,Gulf Arabic,Full,2016,3.7,193000,68000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,152000,60000
Impala,Sedan,Khobar,Chevrolet,Midrange,Automatic,Gulf Arabic,Standard,2014,3.6,255000,43000
Tucson,SUV,Jeddah,Hyundai,Midrange,Automatic,Saudi,Semi Full,2019,2.0,21000,75000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2012,5.4,360000,30000
Maxima,Sedan,Jeddah,Nissan,Midrange,Automatic,Other,Full,2002,3.0,340000,12000
X7,SUV,Riyadh,Geely,Entry Level,Automatic,Saudi,Full,2019,2.4,32209,61000
Tahoe,SUV,Abha,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2016,5.3,147000,120000
APV,Van,Dammam,Suzuki,Entry Level,Manual,Saudi,Standard,2016,1.6,162000,28000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Semi Full,2017,2.7,121000,75000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2015,5.7,247000,165000
Expedition,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Semi Full,2013,5.4,94000,60000
LS,Luxury,Jeddah,Lexus,Premium Luxury,Automatic,Other,Full,2011,4.6,220,90000
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Other,Full,2017,2.5,88348,70000
S,Other,Aseer,Mercedes,Premium Luxury,Automatic,Saudi,Full,2006,5.0,220,49000
FJ,SUV,Jubail,Toyota,Midrange,Automatic,Saudi,Semi Full,2014,4.0,237000,85000
Accord,Sedan,Dammam,Honda,Midrange,Automatic,Saudi,Standard,2016,2.4,61000,69000
GX,SUV,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2015,4.6,146000,126000
Yaris,Hatchback,Jeddah,Toyota,Midrange,Manual,Saudi,Standard,2010,1.3,350000,13000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2020,1.6,30500,62000
Rav4,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2020,2.5,15000,111000
Tahoe,SUV,Al-Ahsa,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,5.3,248000,49000
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,84000,45000
Suburban,Other,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2015,5.3,118000,91000
Camry,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,240000,41000
Suburban,Other,Jeddah,GMC,Midrange,Automatic,Saudi,Semi Full,2001,5.3,300000,15000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,2.0,150000,40000
Rio,Hatchback,Jubail,Kia,Midrange,Automatic,Saudi,Semi Full,2016,1.4,103000,27000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,327000,46000
Durango,SUV,Riyadh,Dodge,Midrange,Automatic,Saudi,Full,2013,5.7,213000,40000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2013,2.7,180000,45000
Senta fe,SUV,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,3.3,31000,75000
Compass,SUV,Jeddah,Jeep,Midrange,Automatic,Saudi,Full,2014,2.4,217000,25000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2014,3.5,95560,80000
The 7,Luxury,Riyadh,BMW,Premium Luxury,Automatic,Gulf Arabic,Full,2015,3.6,142000,110000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,105000,35000
CX3,SUV,Al-Medina,Mazda,Midrange,Automatic,Saudi,Standard,2018,2.0,30000,54000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,1.6,125848,30000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Semi Full,2015,3.3,446000,35000
Avalon,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2015,3.5,120000,66500
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Other,Full,2017,3.5,34593,148000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.0,130000,50000
Furniture,Other,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,2.7,20000,102000
Sunny,Sedan,Jeddah,Nissan,Midrange,Automatic,Other,Semi Full,2019,1.5,46000,32000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Full,2015,3.5,121000,82000
A3,Hatchback,Riyadh,Audi,Premium Luxury,Automatic,Saudi,Semi Full,2016,2.0,70000,68000
Elantra,Sedan,Al-Jouf,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.0,170000,43000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Saudi,Semi Full,2016,4.0,35000,220000
X40,SUV,Jeddah,FAW,Entry Level,Automatic,Saudi,Full,2020,1.1,53000,35000
Tucson,SUV,Makkah,Hyundai,Midrange,Automatic,Saudi,Semi Full,2013,2.0,213000,28000
Tahoe,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,5.3,172000,60000
Q7,SUV,Riyadh,Audi,Premium Luxury,Automatic,Saudi,Full,2007,7.0,180000,50000
Escalade,Other,Dammam,Cadillac,Premium Luxury,Automatic,Other,Full,2016,6.2,114000,175000
LS,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2018,3.5,55000,298000
Rio,Hatchback,Dammam,Kia,Midrange,Automatic,Saudi,Full,2020,1.4,300,57000
Land Cruiser,SUV,Al-Baha,Toyota,Midrange,Manual,Saudi,Semi Full,2012,6.6,109,120000
ML,SUV,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,3.5,125000,100000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,155000,61000
Edge,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,105344,66500
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,2.7,76192,93500
Sierra,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2018,5.3,61000,145000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2019,3.0,49626,401500
Sentra,Other,Al-Ahsa,Nissan,Midrange,Automatic,Saudi,Semi Full,2018,1.6,62000,41000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Other,Semi Full,2019,2.0,35000,145000
E,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2016,2.0,120000,135000
Camry,Sedan,Makkah,Toyota,Midrange,Automatic,Saudi,Standard,2014,2.5,166400,35500
The 7,Luxury,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Full,2015,3.0,110000,107000
Land Cruiser,SUV,Al-Jouf,Toyota,Midrange,Automatic,Gulf Arabic,Full,2021,4.6,3000,260000
Q5,SUV,Jeddah,Audi,Premium Luxury,Automatic,Saudi,Semi Full,2018,2.0,17859,141000
CX5,SUV,Riyadh,Mazda,Midrange,Automatic,Gulf Arabic,Semi Full,2020,2.5,19928,86500
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Other,Full,2019,5.0,1800,350000
Sunny,Sedan,Dammam,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,68000,33000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Standard,2013,1.8,350000,50000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2009,6.0,135000,32000
Charger,Sedan,Al-Medina,Dodge,Midrange,Automatic,Saudi,Full,2012,6.4,167000,85000
The 4,Other,Riyadh,BMW,Premium Luxury,Automatic,Saudi,Semi Full,2015,2.0,88335,126500
Taurus,Sedan,Makkah,Ford,Midrange,Automatic,Saudi,Semi Full,2016,3.5,175000,56008
E,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2017,2.0,31000,226000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Standard,2019,3.5,39000,150000
Prado,Other,Al-Medina,Toyota,Midrange,Automatic,Saudi,Full,2016,4.0,174000,120000
Yaris,Hatchback,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.5,195000,31000
Sierra,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2012,5.3,329000,40000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.4,61184,54000
ES,Luxury,Jeddah,Lexus,Premium Luxury,Automatic,Saudi,Full,2011,3.5,282000,53000
Camaro,Coupe/Sports,Riyadh,Chevrolet,Midrange,Automatic,Other,Full,2016,3.6,118993,107000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2017,5.7,93000,145000
X-Trail,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2018,2.5,30000,68000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2014,2.0,120000,45000
Expedition,SUV,Jeddah,Ford,Midrange,Automatic,Saudi,Standard,2018,3.5,55000,143000
ZS,Other,Riyadh,MG,Midrange,Automatic,Saudi,Full,2020,1.5,33000,55000
Senta fe,SUV,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2014,3.0,11111,49000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,93049,29500
Datsun,Other,Dammam,Nissan,Midrange,Manual,Saudi,Full,2015,2.4,205000,30000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2019,2.5,88000,70000
Elantra,Sedan,Aseer,Hyundai,Midrange,Automatic,Saudi,Semi Full,2013,2.0,300000,20000
G70,Other,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2019,2.0,11000,109000
CT4,Sedan,Jeddah,Cadillac,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2020,3.7,100,159000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2016,1.5,180000,28500
Flying Spur,Luxury,Dammam,Bentley,Ultra Luxury,Automatic,Saudi,Full,2015,6.0,47000,310000
X,Other,Dammam,BMW,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2020,2.0,22000,130000
LX,Other,Qassim,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2014,5.7,88000,207000
Sentra,Other,Aseer,Nissan,Midrange,Automatic,Saudi,Semi Full,2020,1.6,7000,55000
Explorer,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2014,3.5,150000,50000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2004,3.5,322000,23000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2016,5.3,139000,110000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2018,3.5,81165,74000
Elantra,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2016,1.6,141000,36000
Sunny,Sedan,Jeddah,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,106000,24500
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2016,2.4,136000,42500
Abeka,Other,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2009,2.0,370000,11000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Standard,2015,2.4,221000,48000
Rio,Hatchback,Dammam,Kia,Midrange,Automatic,Saudi,Standard,2019,1.4,65000,35000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2015,2.5,179622,48000
Patrol,SUV,Al-Medina,Nissan,Midrange,Automatic,Saudi,Full,2015,4.0,77000,166000
Range Rover,SUV,Dammam,Land Rover,Premium Luxury,Automatic,Saudi,Full,2015,2.0,113000,100000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2012,5.4,195000,45000
Azera,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2021,3.5,9000,122000
X,Other,Riyadh,BMW,Premium Luxury,Automatic,Other,Standard,2020,3.0,55000,266000
Armada,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2007,5.6,240000,30000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Full,2021,5.3,800,310000
Carnival,MPV,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2015,3.3,89000,38000
Altima,Sedan,Qassim,Nissan,Midrange,Automatic,Gulf Arabic,Semi Full,2018,2.5,78592,64000
S,Other,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2018,4.5,83000,315000
Mustang,Coupe/Sports,Dammam,Ford,Midrange,Automatic,Other,Full,2016,2.3,84000,99000
CX9,SUV,Dammam,Mazda,Midrange,Automatic,Other,Full,2017,3.0,93000,111000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2016,2.7,211000,69000
Range Rover,SUV,Dammam,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2016,5.0,56500,320000
Sierra,SUV,Jeddah,GMC,Midrange,Automatic,Saudi,Full,2016,5.3,161,80000
Challenger,Coupe/Sports,Riyadh,Dodge,Midrange,Automatic,Saudi,Full,2014,5.7,155000,68000
CX9,SUV,Jeddah,Mazda,Midrange,Automatic,Saudi,Full,2019,2.5,33501,127000
Sportage,Other,Aseer,Kia,Midrange,Automatic,Other,Standard,2014,1.2,150000,33000
Impala,Sedan,Taef,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2018,3.6,35000,85000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2018,2.0,82000,77000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Semi Full,2006,4.3,235115,15000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2016,5.3,55106,150000
Pajero,SUV,Jeddah,Mitsubishi,Midrange,Automatic,Saudi,Full,2017,3.5,54000,73000
Expedition,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Semi Full,2008,5.4,346000,27000
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Other,Full,2014,4.0,149000,75000
Accord,Sedan,Qassim,Honda,Midrange,Automatic,Gulf Arabic,Standard,2016,2.4,130000,61000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2019,2.0,85828,80500
X7,SUV,Riyadh,Geely,Entry Level,Automatic,Saudi,Full,2019,2.4,32000,59500
Impala,Sedan,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Full,2015,3.5,200007,45000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2015,5.3,101060,125000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2016,4.7,95061,236500
CLS,Other,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2014,3.5,130,100000
Wrangler,Other,Riyadh,Jeep,Midrange,Automatic,Saudi,Semi Full,2019,3.6,26000,148000
Suburban,Other,Riyadh,Chevrolet,Midrange,Automatic,Other,Full,2017,5.3,153000,162000
Megane,Other,Jeddah,Renault,Entry Level,Automatic,Gulf Arabic,Standard,2020,1.6,6400,42000
Senta fe,SUV,Dammam,Hyundai,Midrange,Automatic,Gulf Arabic,Semi Full,2015,1.6,158000,54000
Patrol,SUV,Jazan,Nissan,Midrange,Automatic,Saudi,Semi Full,2014,5.6,190000,105000
CX5,SUV,Riyadh,Mazda,Midrange,Automatic,Gulf Arabic,Standard,2020,2.5,4000,83500
Eado,Other,Riyadh,Changan,Entry Level,Automatic,Saudi,Semi Full,2020,1.6,64695,42000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.0,137000,39000
Sierra,SUV,Riyadh,GMC,Midrange,Automatic,Other,Semi Full,2011,5.3,258000,50000
Edge,Other,Makkah,Ford,Midrange,Automatic,Saudi,Full,2013,3.5,317125,32000
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2013,1.0,296000,79000
E,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2014,4.0,161000,95000
Suburban,Other,Jeddah,GMC,Midrange,Automatic,Saudi,Semi Full,2006,5.2,500000,14000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Saudi,Standard,2016,4.0,106000,237000
Hilux,Pickup,Sakaka,Toyota,Midrange,Manual,Saudi,Full,2012,2.5,335200,50000
Senta fe,SUV,Makkah,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,3.3,147,65000
Challenger,Coupe/Sports,Jeddah,Dodge,Midrange,Automatic,Saudi,Full,2013,6.4,249000,70000
Accent,Sedan,Al-Medina,Hyundai,Midrange,Automatic,Saudi,Standard,2011,1.8,285205,14000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Gulf Arabic,Semi Full,2019,2.4,28000,68000
Navara,Pickup,Jeddah,Nissan,Midrange,Automatic,Saudi,Full,2015,2.5,129000,40000
Sonata,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.4,139000,43000
The 7,Luxury,Al-Ahsa,BMW,Premium Luxury,Automatic,Gulf Arabic,Full,2021,2.0,1500,384900
X,Other,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Semi Full,2010,3.0,200,61000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,102650,37500
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2019,4.0,82000,149000
Power,Other,Al-Medina,Great Wall,Midrange,Automatic,Saudi,Full,2021,2.0,4000,95000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2020,4.0,560,191500
B50,Other,Jeddah,FAW,Entry Level,Automatic,Saudi,Full,2016,1.4,89000,25000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.6,116842,48500
6,Sedan,Al-Ahsa,Mazda,Midrange,Automatic,Saudi,Standard,2018,2.5,188000,59000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Semi Full,2015,3.5,103000,78000
Tahoe,SUV,Abha,Chevrolet,Midrange,Automatic,Saudi,Standard,2016,5.3,217000,87000
LX,Other,Dammam,Lexus,Premium Luxury,Automatic,Saudi,Full,2021,5.7,14000,445000
Acadia,SUV,Jeddah,GMC,Midrange,Automatic,Saudi,Full,2008,3.6,229000,19000
Camry,Sedan,Abha,Toyota,Midrange,Automatic,Saudi,Standard,2009,1.6,300000,24000
Accent,Sedan,Al-Ahsa,Hyundai,Midrange,Automatic,Saudi,Standard,2020,1.4,2600,45000
Durango,SUV,Jeddah,Dodge,Midrange,Automatic,Saudi,Standard,2013,3.6,115458,50000
CS75,SUV,Al-Ahsa,Changan,Entry Level,Automatic,Saudi,Full,2020,1.8,46000,62000
Tahoe,SUV,Al-Ahsa,Chevrolet,Midrange,Automatic,Saudi,Standard,2016,5.2,144000,112000
Echo Sport,Other,Dammam,Ford,Midrange,Automatic,Gulf Arabic,Standard,2020,1.5,2819,59000
Suburban,Other,Al-Baha,Chevrolet,Midrange,Automatic,Saudi,Full,2015,5.3,70000,160000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,40000,42000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2020,5.0,65000,435000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Other,Full,2019,5.0,28000,450000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2016,5.3,123496,130000
Mustang,Coupe/Sports,Jeddah,Ford,Midrange,Manual,Saudi,Full,2007,2.3,300000,28000
Sportage,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Semi Full,2016,2.0,163000,43000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2010,5.3,352000,42000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Semi Full,2015,3.6,203000,55000
Grand Cherokee,SUV,Riyadh,Jeep,Midrange,Automatic,Saudi,Full,2015,5.7,146000,95000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,5.4,95000,72000
Tahoe,SUV,Al-Jouf,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2014,5.3,157000,68500
Land Cruiser,SUV,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2013,4.6,350000,86000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2015,5.7,190000,99000
Altima,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2014,2.5,139337,36500
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Full,2016,2.7,28000,94000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2009,1.0,377000,11000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Semi Full,2010,3.5,318000,23000
Accent,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2015,1.4,500000,22000
6,Sedan,Qassim,Mazda,Midrange,Automatic,Other,Standard,2016,2.5,122000,53000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,95000,28000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2019,5.3,40000,145000
Emgrand,Hatchback,Qassim,Geely,Entry Level,Automatic,Saudi,Full,2020,2.4,37000,58000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2018,2.0,95000,75000
Town Car,Van,Jeddah,Lincoln,Premium Luxury,Automatic,Saudi,Semi Full,2005,5.0,286,14000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2016,1.5,166000,28500
3,Other,Al-Medina,Mazda,Midrange,Automatic,Saudi,Standard,2018,1.8,54000,54000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.4,110900,57000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.8,97000,98000
