Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Blazer,SUV,Wadi Dawasir,Chevrolet,Midrange,Automatic,Saudi,Full,2008,3.6,128000,15000
C300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Gulf Arabic,Full,2018,5.7,49000,135000
Taurus,Sedan,Taef,Ford,Midrange,Automatic,Saudi,Standard,2011,3.5,22000,50000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2017,3.5,132000,65000
H1,Van,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.4,209677,47500
The 7,Luxury,Riyadh,BMW,Premium Luxury,Automatic,Gulf Arabic,Full,2019,2.0,6000,335000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Full,2016,3.5,91815,86000
Tucson,SUV,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.0,124000,58500
Rav4,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.5,163000,69500
Sunny,Sedan,Jeddah,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,88000,24000
Sonata,Sedan,Qassim,Hyundai,Midrange,Automatic,Other,Semi Full,2016,2.4,152000,52000
Impala,Sedan,Dammam,Chevrolet,Midrange,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2015,2.7,226000,45000
The M,Luxury,Dammam,BMW,Premium Luxury,Automatic,Gulf Arabic,Standard,2018,2.0,1600,135000
CX9,SUV,Taef,Mazda,Midrange,Automatic,Saudi,Full,2015,2.5,234000,57000
Yukon,SUV,Jeddah,GMC,Midrange,Automatic,Other,Full,2020,5.3,63860,175000
Land Cruiser Pickup,Pickup,Riyadh,Nissan,Midrange,Manual,Saudi,Full,2012,4.8,339822,40000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Saudi,Full,2017,2.4,139806,71500
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
Camry,Sedan,Al-Baha,Toyota,Midrange,Manual,Saudi,Standard,2008,2.4,388000,17000
Cadenza,Sedan,Riyadh,Kia,Midrange,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
Camaro,Coupe/Sports,Riyadh,Chevrolet,Midrange,Automatic,Other,Full,2017,2.0,81633,120000
Suburban,Other,Riyadh,GMC,Midrange,Automatic,Other,Standard,2004,1.1,212,14000
Genesis,Luxury,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2017,5.0,106000,90000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,43000,30000
Taurus,Sedan,Khobar,Ford,Midrange,Automatic,Saudi,Semi Full,2011,3.5,281000,29500
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2013,2.5,185000,42000
Land Cruiser 70,SUV,Hail,Toyota,Midrange,Manual,Saudi,Semi Full,2011,4.0,352500,58000
Fusion,Sedan,Al-Ahsa,Ford,Midrange,Automatic,Saudi,Standard,2016,2.5,80000,50000
Pathfinder,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2006,4.0,325000,15000
Grand Cherokee,SUV,Khobar,Jeep,Midrange,Automatic,Saudi,Full,2020,3.6,52000,162000
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2013,3.6,353000,39500
Sonata,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2020,3.5,26000,126000
Cerato,Other,Qassim,Kia,Midrange,Automatic,Saudi,Semi Full,2016,1.6,12100,30000
Charger,Sedan,Jeddah,Dodge,Midrange,Automatic,Saudi,Full,2017,5.7,64000,145000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2014,5.4,16682,76500
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.4,129413,57500
Traverse,Other,Jubail,Chevrolet,Midrange,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Full,2015,4.0,203843,90000
FJ,SUV,Qassim,Toyota,Midrange,Automatic,Gulf Arabic,Full,2017,4.0,114000,115000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2013,5.6,442000,85000
Suburban,Other,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Other,Full,2016,5.3,110000,144000
Impala,Sedan,Qassim,Chevrolet,Midrange,Automatic,Gulf Arabic,Standard,2019,3.5,53000,80000
Charger,Sedan,Riyadh,Dodge,Midrange,Automatic,Saudi,Semi Full,2016,3.6,157136,84500
CX3,SUV,Al-Medina,Mazda,Midrange,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
Cerato,Other,Arar,Kia,Midrange,Automatic,Saudi,Standard,2015,1.6,120000,25000
Furniture,Other,Aseer,Toyota,Midrange,Automatic,Saudi,Semi Full,2013,4.1,285000,55000
C,Other,Aseer,Mercedes,Premium Luxury,Automatic,Other,Full,2018,2.0,91000,138000
Civic,Other,Jeddah,Honda,Midrange,Automatic,Saudi,Full,2016,2.0,68800,55000
Echo Sport,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2015,1.4,101600,28000
Challenger,Coupe/Sports,Dammam,Dodge,Midrange,Automatic,Other,Full,2016,3.6,160000,89000
Hilux,Pickup,Abha,Toyota,Midrange,Manual,Saudi,Full,2015,2.7,157000,60000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2015,3.0,300000,188000
CL,Luxury,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2011,4.0,60000,170000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2020,2.0,56000,50000
Innova,MPV,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,5.0,99000,255000
Yukon,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2013,5.3,327000,45000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Standard,2012,3.8,86213,41500
Hilux,Pickup,Jeddah,Toyota,Midrange,Manual,Saudi,Full,2018,2.7,27000,88000
Edge,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Full,2011,3.5,231000,35000
Wrangler,Other,Jeddah,Jeep,Midrange,Automatic,Saudi,Full,2015,3.6,200,85000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2015,3.2,125000,130000
Datsun,Other,Riyadh,Nissan,Midrange,Manual,Saudi,Full,2016,2.0,22000,45000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Full,2016,3.5,105,83000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Other,Full,2017,2.0,96000,170000
Charger,Sedan,Al-Medina,Dodge,Midrange,Automatic,Other,Full,2016,1.7,140,65000
Pajero,SUV,Dammam,Mitsubishi,Midrange,Automatic,Gulf Arabic,Full,2016,3.8,216000,58000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Full,2016,3.5,161353,57500
Yaris,Hatchback,Abha,Toyota,Midrange,Automatic,Saudi,Standard,2011,1.3,300500,14000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,125000,66000
Optima,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Semi Full,2015,2.0,190000,38000
Sierra,SUV,Qassim,GMC,Midrange,Automatic,Saudi,Standard,2020,5.3,17000,135000
Yaris,Hatchback,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.4,50000,33000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,88564,26800
Land Cruiser,SUV,Aseer,Toyota,Midrange,Automatic,Saudi,Full,2013,4.6,101000,150000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2013,4.6,281000,135000
Rio,Hatchback,Riyadh,Kia,Midrange,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,74000,27000
Land Cruiser 70,SUV,Dammam,Toyota,Midrange,Manual,Saudi,Semi Full,2014,4.0,70000,69000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.0,22999,53000
The 7,Luxury,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Full,2014,6.0,182000,90000
Maxima,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2017,3.5,158543,61500
Navara,Pickup,Jeddah,Nissan,Midrange,Automatic,Other,Full,2015,2.5,19000,38000
LS,Luxury,Khobar,Lexus,Premium Luxury,Automatic,Saudi,Full,2015,4.6,103000,170000
Accent,Sedan,Al-Ahsa,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,65392,37000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.6,100000,44000
Accord,Sedan,Qassim,Honda,Midrange,Automatic,Gulf Arabic,Semi Full,2017,2.5,62847,82000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2020,1.6,16479,56000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,126000,63000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Full,2020,1.6,10400,53000
Suburban,Other,Taef,Chevrolet,Midrange,Automatic,Other,Full,2008,5.3,263,32000
Yukon,SUV,Qassim,GMC,Midrange,Automatic,Saudi,Full,2012,5.3,270,39000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,1.6,173700,30000
Yukon,SUV,Jeddah,GMC,Midrange,Automatic,Saudi,Full,2013,2.7,300,55000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2011,1.4,108000,19000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,4.6,41000,190000
A6,Sedan,Riyadh,Audi,Premium Luxury,Automatic,Saudi,Semi Full,2013,3.0,75000,70000
Flex,Other,Dammam,Ford,Midrange,Automatic,Saudi,Semi Full,2014,3.5,180000,49000
Innova,MPV,Jubail,Toyota,Midrange,Automatic,Saudi,Full,2015,2.7,114000,49000
Taurus,Sedan,Al-Namas,Ford,Midrange,Automatic,Saudi,Semi Full,2010,4.4,10000,25000
Dokker,Van,Riyadh,Renault,Entry Level,Manual,Saudi,Standard,2016,1.8,143000,20000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Semi Full,2017,3.5,142311,75000
Cadenza,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Full,2017,3.3,88000,83000
CX5,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Full,2019,2.5,33000,102000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2020,4.6,18000,285000
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Other,Standard,2016,2.5,148254,59000
Expedition,SUV,Al-Ahsa,Ford,Midrange,Automatic,Saudi,Standard,2016,5.4,172000,76000
Camry,Sedan,Jeddah,Toyota,Midrange,Manual,Saudi,Standard,2009,2.5,350000,25000
CX9,SUV,Dammam,Mazda,Midrange,Automatic,Gulf Arabic,Full,2016,3.7,169300,65000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2006,4.5,215000,79000
Accord,Sedan,Abha,Honda,Midrange,Automatic,Saudi,Standard,2008,2.4,197000,20000
Sonata,Sedan,Al-Ahsa,Hyundai,Midrange,Manual,Saudi,Standard,2019,2.4,3400,58000
Rio,Hatchback,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2016,1.4,270000,25000
Suburban,Other,Makkah,GMC,Midrange,Automatic,Saudi,Standard,2006,2.0,230000,29000
Maxima,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2017,1.0,135000,73000
Mohave,SUV,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2014,3.8,256000,30000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2007,5.3,262,30000
Traverse,Other,Al-Medina,Chevrolet,Midrange,Automatic,Other,Semi Full,2009,3.6,325,18000
Datsun,Other,Dammam,Nissan,Midrange,Manual,Saudi,Semi Full,2016,2.4,125000,45000
Yaris,Hatchback,Jubail,Toyota,Midrange,Manual,Saudi,Standard,2016,1.5,134000,23000
Explorer,SUV,Khobar,Ford,Midrange,Automatic,Other,Standard,2003,4.0,360000,8000
The 5,Luxury,Khobar,BMW,Premium Luxury,Automatic,Saudi,Standard,2014,2.0,150000,57000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2011,5.3,401000,52000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2019,4.6,177900,220000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2015,5.6,219175,113500
The 7,Luxury,Riyadh,BMW,Premium Luxury,Automatic,Gulf Arabic,Full,2014,2.0,139000,90000
Ghost,Luxury,Dammam,Rolls-Royce,Ultra Luxury,Automatic,Saudi,Full,2010,6.0,175000,310000
Furniture,Other,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2011,2.7,304000,32000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.6,57000,44000
Elantra,Sedan,Al-Medina,Hyundai,Midrange,Automatic,Other,Full,2016,1.6,87000,42000
